area,n,prop,prop_numeric
"Business, Economics & Management",20,10%,0.10362694300518134
Chemical & Materials Sciences,21,11%,0.10880829015544041
Engineering & Computer Science,24,12%,0.12435233160621761
Health & Medical Sciences,45,23%,0.23316062176165803
"Humanities, Literature & Arts",20,10%,0.10362694300518134
Life Sciences & Earth Sciences,22,11%,0.11398963730569948
Physics & Mathematics,20,10%,0.10362694300518134
Social Sciences,21,11%,0.10880829015544041
